886.875 1194.375 936.1638217780395,736.875 1006.875 558.6956056920694,680.625 763.125 125.77312417834628,718.125 772.5 0,755.625 781.875 -125.77312417834628,699.375 1006.875 -568.7301621628443,680.625 1250.625 -943.393850228721
886.875 1175.625 947.2848457152218,736.875 1006.875 561.0699552007252,699.375 763.125 126.12204165244755,736.875 763.125 0,774.375 763.125 -126.12204165244755,699.375 1006.875 -556.192893373417,699.375 1250.625 -931.3254588154546
905.625 1194.375 940.9540764265538,755.625 1006.875 563.4858603405837,718.125 763.125 128.5379467923061,746.25 763.125 0,774.375 763.125 -128.5379467923061,718.125 1006.875 -561.4604283060293,699.375 1250.625 -936.124116371906
905.625 1194.375 933.6157095224113,755.625 988.125 566.0569500632948,736.875 744.375 129.89829200409724,755.625 753.75 0,774.375 763.125 -129.89829200409724,718.125 1006.875 -562.8207735178205,718.125 1231.875 -949.4905346255707
924.375 1194.375 935.7817745767359,793.125 988.125 561.1180865108591,736.875 744.375 128.19560499713597,765.0 753.75 0,793.125 763.125 -128.19560499713597,718.125 1006.875 -558.2664567181054,718.125 1231.875 -944.9362178258556
924.375 1194.375 949.8366394833122,793.125 988.125 575.1729514174355,755.625 763.125 130.23615815349328,774.375 763.125 0,793.125 763.125 -130.23615815349328,718.125 1006.875 -560.3070098744627,718.125 1231.875 -946.9767709822129
943.125 1194.375 949.8366394833122,811.875 988.125 575.1729514174355,774.375 763.125 130.23615815349328,793.125 763.125 0,811.875 763.125 -130.23615815349328,736.875 988.125 -570.4065796949685,736.875 1231.875 -945.5391451370061
943.125 1194.375 949.574097138338,811.875 1006.875 565.1840717017709,774.375 763.125 130.23615815349328,793.125 763.125 0,811.875 763.125 -130.23615815349328,736.875 1006.875 -560.3070098744627,718.125 1231.875 -946.5219003889592
943.125 1194.375 948.1384281221251,811.875 988.125 573.4747400562483,774.375 763.125 128.5379467923061,802.5 763.125 0,830.625 763.125 -128.5379467923061,755.625 1006.875 -558.6087985132755,718.125 1231.875 -943.4558514513545
943.125 1213.125 940.0693060996886,811.875 988.125 576.3565875220663,793.125 763.125 130.23615815349328,811.875 763.125 0,830.625 763.125 -130.23615815349328,736.875 1006.875 -556.6126056737568,718.125 1231.875 -942.8274961882535
961.875 1213.125 928.5589241299971,830.625 988.125 564.8462055523748,793.125 744.375 129.89829200409724,811.875 753.75 0,830.625 763.125 -129.89829200409724,755.625 1006.875 -559.9691437250666,718.125 1231.875 -944.8161966631457
961.875 1213.125 930.107534790313,830.625 988.125 566.3948162126908,811.875 744.375 130.23615815349328,830.625 744.375 0,849.375 744.375 -130.23615815349328,755.625 988.125 -556.6126056737568,718.125 1231.875 -929.8661276331948
961.875 1213.125 937.6798362625485,849.375 988.125 567.7376054276185,830.625 744.375 131.57894736842104,830.625 744.375 0,830.625 744.375 -131.57894736842104,755.625 988.125 -561.6497990893904,718.125 1231.875 -934.9033210488283
943.125 1213.125 942.5357615421826,849.375 988.125 567.403196100145,830.625 744.375 131.2445380409475,840.0 744.375 0,849.375 744.375 -131.2445380409475,774.375 988.125 -561.3153897619169,736.875 1231.875 -934.5689117213549
943.125 1213.125 931.9282167467152,849.375 988.125 556.7956513046776,849.375 725.625 131.2445380409475,849.375 735.0 0,849.375 744.375 -131.2445380409475,774.375 988.125 -561.3153897619169,736.875 1231.875 -934.5689117213549
